"question","answer1","answer2","answer3","answer4","correct","points","category"
"Question 1 en IT : quel est le concept clé ?","Option A","Option B","Option C","Option D","2","10","IT"
"Question 2 en ProjectManagement : quel est le concept clé ?","Option A","Option B","Option C","Option D","3","10","ProjectManagement"
"Question 3 en Marketing : quel est le concept clé ?","Option A","Option B","Option C","Option D","4","10","Marketing"
"Question 4 en Design : quel est le concept clé ?","Option A","Option B","Option C","Option D","1","10","Design"
"Question 5 en Languages : quel est le concept clé ?","Option A","Option B","Option C","Option D","2","10","Languages"
"Question 6 en Finance : quel est le concept clé ?","Option A","Option B","Option C","Option D","3","10","Finance"
"Question 7 en HR : quel est le concept clé ?","Option A","Option B","Option C","Option D","4","10","HR"
"Question 8 en PersonalDevelopment : quel est le concept clé ?","Option A","Option B","Option C","Option D","1","10","PersonalDevelopment"
"Question 9 en IT : quel est le concept clé ?","Option A","Option B","Option C","Option D","2","10","IT"
"Question 10 en ProjectManagement : quel est le concept clé ?","Option A","Option B","Option C","Option D","3","10","ProjectManagement"
"Question 11 en Marketing : quel est le concept clé ?","Option A","Option B","Option C","Option D","4","10","Marketing"
"Question 12 en Design : quel est le concept clé ?","Option A","Option B","Option C","Option D","1","10","Design"
"Question 13 en Languages : quel est le concept clé ?","Option A","Option B","Option C","Option D","2","10","Languages"
"Question 14 en Finance : quel est le concept clé ?","Option A","Option B","Option C","Option D","3","10","Finance"
"Question 15 en HR : quel est le concept clé ?","Option A","Option B","Option C","Option D","4","10","HR"
"Question 16 en PersonalDevelopment : quel est le concept clé ?","Option A","Option B","Option C","Option D","1","10","PersonalDevelopment"
"Question 17 en IT : quel est le concept clé ?","Option A","Option B","Option C","Option D","2","10","IT"
"Question 18 en ProjectManagement : quel est le concept clé ?","Option A","Option B","Option C","Option D","3","10","ProjectManagement"
"Question 19 en Marketing : quel est le concept clé ?","Option A","Option B","Option C","Option D","4","10","Marketing"
"Question 20 en Design : quel est le concept clé ?","Option A","Option B","Option C","Option D","1","10","Design"
"Question 21 en Languages : quel est le concept clé ?","Option A","Option B","Option C","Option D","2","10","Languages"
"Question 22 en Finance : quel est le concept clé ?","Option A","Option B","Option C","Option D","3","10","Finance"
"Question 23 en HR : quel est le concept clé ?","Option A","Option B","Option C","Option D","4","10","HR"
"Question 24 en PersonalDevelopment : quel est le concept clé ?","Option A","Option B","Option C","Option D","1","10","PersonalDevelopment"
"Question 25 en IT : quel est le concept clé ?","Option A","Option B","Option C","Option D","2","10","IT"
"Question 26 en ProjectManagement : quel est le concept clé ?","Option A","Option B","Option C","Option D","3","10","ProjectManagement"
"Question 27 en Marketing : quel est le concept clé ?","Option A","Option B","Option C","Option D","4","10","Marketing"
